subject,run,trial_nr,n1,n2,p1,p2,risky_first,choice,rt
101,1.0,231.0,8.94,19.61,1.0,0.55,False,True,1.1575110999999652
101,1.0,233.0,21.15,76.39,1.0,0.55,False,True,0.8393344999999499
101,1.0,235.0,7.79,17.06,1.0,0.55,False,False,0.8864134999998896
101,1.0,237.0,9.96,14.92,1.0,0.55,False,False,1.1574728999999024
101,1.0,239.0,5.72,14.49,1.0,0.55,False,True,1.1928219000001263
101,1.0,241.0,9.86,36.85,1.0,0.55,False,True,0.9334217000000536
101,1.0,243.0,17.47,23.08,1.0,0.55,False,True,1.0985244999999395
101,1.0,245.0,8.47,10.6,1.0,0.55,False,False,0.9806134999998904
101,1.0,247.0,7.36,20.27,1.0,0.55,False,True,0.803872599999977
101,1.0,249.0,7.22,20.57,1.0,0.55,False,True,0.7684967000000142
101,1.0,251.0,15.0,58.64,1.0,0.55,False,True,1.074967000000015
101,1.0,253.0,16.67,65.0,1.0,0.55,False,True,1.051381099999844
101,1.0,255.0,5.25,9.48,1.0,0.55,False,False,1.0042817000000923
101,1.0,226.0,34.03,10.77,0.55,1.0,True,False,0.9688222999998288
101,1.0,228.0,34.04,11.45,0.55,1.0,True,False,1.1574829999999563
101,1.0,230.0,6.01,5.35,0.55,1.0,True,True,0.968837800000074
101,1.0,232.0,49.37,13.18,0.55,1.0,True,True,1.1928499000000556
101,1.0,234.0,51.68,16.13,0.55,1.0,True,False,1.157491299999947
101,1.0,236.0,13.04,7.64,0.55,1.0,True,True,1.1810566000001472
101,1.0,238.0,10.02,9.26,0.55,1.0,True,True,0.9453012999999828
101,1.0,240.0,15.8,9.43,0.55,1.0,True,True,0.8510936000000129
101,1.0,242.0,25.53,23.5,0.55,1.0,True,True,0.9570624999998928
101,1.0,244.0,11.91,5.09,0.55,1.0,True,True,1.8295834999998988
101,1.0,246.0,7.13,7.05,0.55,1.0,True,True,0.8392880999999761
101,1.0,248.0,11.24,5.35,0.55,1.0,True,True,1.4523807999999008
101,1.0,250.0,13.59,6.68,0.55,1.0,True,False,1.0396158000003195
101,1.0,252.0,16.01,6.57,0.55,1.0,True,False,0.9689194999996288
101,1.0,254.0,49.15,13.19,0.55,1.0,True,False,0.9689808999996784
101,1.0,256.0,42.87,11.69,0.55,1.0,True,False,0.8510520999998334
101,2.0,225.0,27.25,24.68,0.55,1.0,True,True,1.004324999999881
101,2.0,227.0,57.34,17.53,0.55,1.0,True,True,1.4404801000000589
101,2.0,229.0,43.61,12.47,0.55,1.0,True,False,1.0160783999999694
101,2.0,231.0,100.18,25.24,0.55,1.0,True,False,1.0632510000000366
101,2.0,233.0,38.89,12.88,0.55,1.0,True,False,1.1339578000001893
101,2.0,235.0,89.78,26.01,0.55,1.0,True,True,1.3346099000000322
101,2.0,237.0,48.01,16.64,0.55,1.0,True,False,1.1339418000002297
101,2.0,239.0,59.22,21.48,0.55,1.0,True,True,0.8510965000000397
101,2.0,241.0,11.83,7.47,0.55,1.0,True,False,1.0160476000000926
101,2.0,243.0,70.3,18.18,0.55,1.0,True,False,1.2403251999999156
101,2.0,245.0,50.13,17.91,0.55,1.0,True,False,1.3344527999997808
101,2.0,247.0,24.35,9.7,0.55,1.0,True,False,1.0397330000000693
101,2.0,249.0,20.49,5.73,0.55,1.0,True,False,0.9334880000001248
101,2.0,251.0,7.7,5.39,0.55,1.0,True,True,1.1457532000003994
101,2.0,253.0,12.59,6.57,0.55,1.0,True,True,1.5822818000001462
101,2.0,255.0,23.29,12.0,0.55,1.0,True,True,1.1811320000001615
101,2.0,226.0,14.97,21.12,1.0,0.55,False,False,1.570297699999628
101,2.0,228.0,16.12,50.79,1.0,0.55,False,False,1.2050662999999986
101,2.0,230.0,6.03,22.91,1.0,0.55,False,True,1.6766147999996974
101,2.0,232.0,20.36,67.72,1.0,0.55,False,False,1.27546220000022
101,2.0,234.0,10.99,12.1,1.0,0.55,False,False,1.1222812000000886
101,2.0,236.0,21.07,82.25,1.0,0.55,False,True,1.2519659999998112
101,2.0,238.0,7.82,12.72,1.0,0.55,False,True,1.7824476999999206
101,2.0,240.0,5.44,6.13,1.0,0.55,False,False,1.19301570000016
101,2.0,242.0,5.23,14.18,1.0,0.55,False,True,1.287584700000025
101,2.0,244.0,15.5,61.64,1.0,0.55,False,True,1.2401076000001012
101,2.0,246.0,9.62,21.63,1.0,0.55,False,False,1.2048009000000093
101,2.0,248.0,18.6,19.33,1.0,0.55,False,False,1.263935400000264
101,2.0,250.0,20.62,56.01,1.0,0.55,False,False,0.8393284999997377
101,2.0,252.0,24.11,64.35,1.0,0.55,False,False,1.2047676000001957
101,2.0,254.0,8.86,12.4,1.0,0.55,False,False,1.0161253999999644
101,2.0,256.0,5.11,15.19,1.0,0.55,False,True,1.4054267000001346
101,3.0,225.0,59.22,16.2,0.55,1.0,True,True,1.393423200000143
101,3.0,227.0,37.68,16.08,0.55,1.0,True,True,0.9571505999997498
101,3.0,229.0,23.84,8.24,0.55,1.0,True,True,1.4995671000001494
101,3.0,231.0,52.63,24.53,0.55,1.0,True,True,1.240141300000232
101,3.0,233.0,12.6,5.35,0.55,1.0,True,True,0.8275539999999637
101,3.0,235.0,25.03,9.83,0.55,1.0,True,True,1.0987166999998408
101,3.0,237.0,48.59,21.69,0.55,1.0,True,True,0.9002803000003041
101,3.0,239.0,64.62,25.44,0.55,1.0,True,True,0.886577600000237
101,3.0,241.0,22.27,9.79,0.55,1.0,True,True,0.9336268000001836
101,3.0,243.0,21.34,6.95,0.55,1.0,True,False,1.051516200000151
101,3.0,245.0,40.03,11.48,0.55,1.0,True,False,1.499515799999699
101,3.0,247.0,26.04,8.79,0.55,1.0,True,False,1.157692600000246
101,3.0,249.0,29.49,23.77,0.55,1.0,True,True,1.0397997000000032
101,3.0,251.0,68.31,21.67,0.55,1.0,True,True,0.9454335999998876
101,3.0,253.0,68.49,19.28,0.55,1.0,True,False,0.9689376999999696
101,3.0,255.0,24.58,10.08,0.55,1.0,True,False,1.051540699999805
101,3.0,226.0,5.99,16.32,1.0,0.55,False,True,0.6389733999999407
101,3.0,228.0,14.27,37.29,1.0,0.55,False,False,1.08700940000017
101,3.0,230.0,6.18,17.43,1.0,0.55,False,True,0.9807306000002428
101,3.0,232.0,27.95,61.48,1.0,0.55,False,False,0.6271998000001986
